system:index,B11_2018,B11_2024,B12_2018,B12_2024,B2_2018,B2_2024,B3_2018,B3_2024,B4_2018,B4_2024,B8_2018,B8_2024,DW_LABEL_2018,DW_LABEL_2024,MNDWI_2018,MNDWI_2024,NDBI_2018,NDBI_2024,NDVI_2018,NDVI_2024,NDWI_2018,NDWI_2024,latitude,longitude,point_id,region,region_id,.geo
1_2_184_0_1_2_184_0,0.0106,0.01575,0.0077,0.01205,0.0636,0.0585,0.0546,0.0467,0.0302,0.0297,0.0212,0.01835,0,0,0.67484665,0.49559647,-0.33333334,-0.076246336,-0.17509727,-0.23621228,0.44063324,0.4358186,9.769762619734474,76.21410176727694,5184.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_185_0_1_2_185_0,0.20135,0.1937,0.10615,0.0936,0.0453,0.0572,0.06525,0.0871,0.05265,0.049,0.2551,0.3572,1,1,-0.51050264,-0.37962964,-0.1177566,-0.29678708,0.6578392,0.75873953,-0.59263307,-0.60792255,9.958139334814337,76.39376482410084,5185.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_186_0_1_2_186_0,0.18325,0.2109,0.102,0.1365,0.04375,0.0524,0.0558,0.0723,0.04445,0.0578,0.2301,0.2878,6,6,-0.53315204,-0.4894068,-0.1133422,-0.15420093,0.6761974,0.6655093,-0.6096537,-0.5984449,10.036652090646383,76.36061699011684,5186.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_187_0_1_2_187_0,0.2328,0.25465,0.1878,0.2101,0.0889,0.09795,0.1118,0.1186,0.1316,0.16,0.2546,0.2437,6,6,-0.35113174,-0.364501,-0.044727124,0.02197251,0.31848782,0.20733218,-0.389738,-0.34529397,9.809378323764145,76.31237745935961,5187.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_188_0_1_2_188_0,0.0144,0.0132,0.008,0.0092,0.0752,0.0617,0.0664,0.0568,0.045,0.0361,0.026,0.0225,0,0,0.64356434,0.62285715,-0.28712872,-0.26050422,-0.26760563,-0.2320819,0.43722942,0.43253466,9.896694569380562,76.20197451094133,5188.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_189_0_1_2_189_0,0.035,0.0214,0.0204,0.0156,0.0832,0.0774,0.087,0.0817,0.062,0.0578,0.0453,0.0364,0,0,0.4262295,0.5848691,-0.12826899,-0.25951558,-0.1556384,-0.22717622,0.31519273,0.38357323,9.909360814886648,76.25290898755091,5189.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_190_0_1_2_190_0,0.2295,0.3317,0.1218,0.2129,0.0459,0.0598,0.0621,0.0834,0.04785,0.0809,0.3076,0.2902,1,6,-0.5740741,-0.5981691,-0.14541054,0.06673098,0.7307638,0.56399894,-0.66405195,-0.5535332,9.98778373919028,76.42817029948262,5190.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_191_0_1_2_191_0,0.09665,0.1849,0.0443,0.0969,0.05135,0.0584,0.05695,0.0682,0.04125,0.0565,0.1772,0.2678,1,1,-0.25846353,-0.46108258,-0.29413912,-0.18312348,0.6223392,0.6515572,-0.5135597,-0.5940476,9.833722667963784,76.39547162314066,5191.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_192_0_1_2_192_0,0.20235,0.1874,0.19735,0.1735,0.1155,0.1022,0.1378,0.1168,0.1434,0.1214,0.1818,0.1676,6,6,-0.18976922,-0.23208416,0.05349473,0.055774648,0.11808118,0.1598616,-0.1376721,-0.17862166,10.00799583308297,76.36456957736696,5192.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_193_0_1_2_193_0,0.16775,0.1771,0.0824,0.092,0.046,0.0458,0.0663,0.0654,0.0418,0.0414,0.3345,0.3144,4,4,-0.4334544,-0.46061856,-0.33200598,-0.27934894,0.77783686,0.767285,-0.6691617,-0.65560824,9.853395772686001,76.44029755581823,5193.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
